pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾爱
an,安,,,
ao,,,,奥
ba,芭,,,
bao,,,保,
bei,,,,蓓贝
ben,,,苯,
bi,,,比,
bo,波,伯,,
bu,,,,布
cha,,,,刹
chai,,柴,,
ci,,茨,,
da,,荙妲,,
dai,,,,代黛
dan,丹,,,
de,,德,,
den,登,,,
di,,迪,,蒂
dian,,,典,
dun,敦,,,顿
duo,,,朵,
e,,娥,,厄
er,,,尔儿,
fa,,法,,
fei,菲,,,
fen,芬,,,
fu,芙,,,
ga,嘎,,,
ge,歌,格,,
gu,,,古,
guo,,,菓,
ha,哈,,,
hai,,,海,
han,,,,汉
hao,,豪,,
he,,,,赫
ji,姬,,己,
jia,迦,,,
ka,,,卡,
kai,,,凯,
ke,科柯,,可,克
kou,,,,蔻
ku,,,,库
kui,,葵,,
kun,昆,,,
la,菈,,,
lai,莱,,,
lan,,兰,,
lang,,,朗,
lao,,劳,,
lei,,蕾,,
leng,,,冷,
li,,,,莉
lian,,莲,,
lie,,,,列
lin,,琳,,
liu,,琉,,
lu,,,,露
luo,,,,洛
ma,,,玛,
man,,,,蔓
mei,,梅,美,
men,,门,,
meng,,萌,,梦
mi,,弥,米,密
min,,,敏,
ming,,明,,
mo,,,,默墨莫
mu,,,姆,
na,,,,娜
nai,,,,奈
nan,,楠,,
nei,,,,内
ni,,尼,,
nie,,,,涅
niu,,,纽,
nong,,侬,,
nu,,,奴,
nuo,,挪,,诺
ou,欧,,,
pa,,,,帕
pai,,,,派
pei,,,,佩
po,泊,,,
pu,,,普,
qi,,琪,,
qia,,,,恰
rui,,,,瑞
sa,,,,萨
sai,,,,塞
sang,桑,,,
sen,森,,,
sha,莎,,,
shan,姗,,,
shen,,什,,
shi,施,,史,士
si,斯,,,
suo,,,索,
ta,,,塔,
tan,,,坦,
tang,汤,,,
te,,,,特
ti,,缇,,
ting,汀,,,
wa,,,瓦,
wan,,,,万
wei,威,维,,
wen,,文,,
wo,,,,沃
wu,乌,,,
xi,茜希,,,
xia,,,,夏
xiang,香,,,
xie,歇,,,谢
xin,辛新,,,
xiu,修休,,,
ya,,,雅,娅
ye,耶,,,叶
yi,伊,,,
yin,茵,,,
you,优,尤,,
ze,,泽,,
zi,兹,,,
