pinyin,,2,3,4
a,阿,,,
ai,埃,,,艾
an,安,,,
ang,,昂,,
ao,,,,奥
ba,巴,,,
bao,,,保,
bei,卑,,北,贝
ben,,,本,
bi,,,比,
bo,波,博伯,,
bu,,,,布
cha,,查,,刹
chai,,柴,,
che,,,,彻
ci,,茨,,
da,,达,,
dai,,,,代
dan,丹,,,
dang,当,,,
de,,德,,
den,登,,,
di,,迪,,地
dian,,,典,
din,丁,,,
du,,,,度
dun,敦,,,顿
duo,多,,朵,
en,恩,,,
er,,,尔儿,
fa,,法,,
fei,菲,,,
fen,芬,,,
fu,夫,福弗,,
ga,嘎,,,
gai,,,,盖
gan,干,,,
gang,冈,,,
gao,高,,,
ge,歌戈,格革,,
gen,根,,,
gou,,,苟,
gu,,,古,
gui,圭,,,
guo,,,果,
ha,哈,,,
hai,,,海,亥
han,,,,汉翰
hao,,豪,,
he,,,,赫
ji,基,吉,几,
jia,迦,,,
jie,,杰捷,,
jing,京,,,
ju,居,,,
jue,,爵,,
ka,,,卡,
kai,,,凯,
ke,科,,可,克
ku,,,,库
kun,昆,,,
la,拉,,,
lai,莱,,,赖
lan,,兰,,
lang,,,朗,
lao,,劳,,
le,,,,勒
lei,,雷,,
leng,,,冷,
li,,,里,利
lian,,廉,,
lie,,,,列
lin,,林,,
liu,,留流,,
long,,隆,,
lu,,,鲁,路
lüe,,,,略
lun,,仑,,
luo,,罗,,洛
ma,,,马,
mai,,,,麦迈
man,,,,曼
mei,,梅,美,
men,,门,,
meng,,蒙,,梦
mi,,弥,米,密
miao,,,,缪
min,,,敏,
ming,,明,,
miu,,,,谬
mo,,摩,,默墨莫
mu,,,姆,穆
na,,拿,,纳
nai,,,,奈
nan,,南,,
nei,,,,内
ni,,尼,,
nie,,,,涅
niu,,,纽,
nong,,侬,,
nu,,,努,
nuo,,,,诺
ou,欧,,,
pa,,,,帕
pai,,,,派
pei,,,裴,佩
pi,,皮,,
ping,,平,,
po,泊,婆,,
pu,,,普,
qi,,奇齐,,
qia,,,,恰
qiong,,琼,,
qiu,,求,,
rang,,,,让
re,,,,热
ri,,,,日
rui,,,,瑞
sa,,,,萨撒
sai,,,,塞
san,,,,散
sang,桑,,,
se,,,,瑟
sen,森,,,
sha,沙,,,
shan,杉,,,
she,,,舍,
shen,,什,,
shi,施,,史,士
si,斯,,,
suo,,,索,
ta,,,塔,
tan,,,坦,
te,,,,特
ti,,缇,,
ting,汀,廷,,
tong,通,,,
tu,,图,,
tuo,托,,,
wa,,,瓦,
wan,,,,万
wei,威,维,韦,卫
wen,温,文,,
wo,,,,沃
wu,乌,,伍,
xi,西希,,,
xia,,,,夏
xiang,香,,,
xie,歇,,,谢
xin,辛新,,,
xiu,修休,,,
xun,,,,逊
ya,,,雅,亚
ye,耶,,,叶
yi,伊,,,
yin,因英,,,
ying,,,隐,
you,,尤由,,
zan,,,,赞
ze,,泽,,
zha,扎,,,
zhi,之,,,
zi,兹,,,
zu,,,祖,
zuo,,,佐,
